ASSESS_ID,AU_EPACat,PARAM_NAME,R3172ParameterName
UT16020101-004_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020101-007_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14080201-006_00,5,GROSS ALPHA,GROSS ALPHA
UT16020101-010_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT14080201-007_00,5,GROSS ALPHA,GROSS ALPHA
UT16020101-011_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT14080205-001_00,5,MERCURY IN WATER COLUMN,Mercury
UT16020101-013_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT16020101-014_00,5,PH,pH
UT16020101-020_00,5,NITRATE/NITRITE (NITRITE + NITRATE AS N),Nitrates as N
UT16020101-014_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-14040106-034_00,5,OTHER CAUSE,OTHER CAUSE
UT16020101-015_00,5,PH,pH
UT-L-16020201-004_01,5,PCB(S) IN FISH TISSUE,PCB(S) IN FISH TISSUE
UT16020101-016_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT16020101-017_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT16020101-020_00,5,PH,pH
UT16020101-020_00,5,CADMIUM,Cadmium
UT16020101-020_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020101-020_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16020101-020_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16020201-004_02,5,PCB(S) IN FISH TISSUE,PCB(S) IN FISH TISSUE
UT16020101-020_00,5,ARSENIC,Arsenic
UT16020101-020_00,5,ZINC,Zinc
UT16010202-004_00,5,SEDIMENTATION/SILTATION,SEDIMENTATION/SILTATION
UT16020102-001_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020102-002_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020102-009_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT16020102-022_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020102-023_00,5,TEMPERATURE,Max. Temperature
UT16020102-026_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16020102-026_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT16020102-026_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020102-026_00,5,TEMPERATURE,Max. Temperature
UT16020102-027_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020102-027_00,5,ARSENIC,Arsenic
UT16020102-031_00,5,COPPER,Copper
UT16020102-031_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16020102-032_00,5,COPPER,Copper
UT16020102-034_00,5,COPPER,Copper
UT16020102-035_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16020102-035_00,5,COPPER,Copper
UT16020102-038_00,5,ALUMINUM,Aluminum
UT16020102-038_00,5,COPPER,Copper
UT16020102-039_00,5,COPPER,Copper
UT16020102-039_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16020102-043_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16020102-043_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT16020102-043_00,5,COPPER,Copper
UT16020102-044_00,5,COPPER,Copper
UT16020102-045_00,5,COPPER,Copper
UT16020102-046_00,5,PH,pH
UT16020102-046_00,5,COPPER,Copper
UT16020102-046_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16020102-046_00,5,TEMPERATURE,Max. Temperature
UT16020102-049_00,5,COPPER,Copper
UT16020102-050_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16020102-050_00,5,COPPER,Copper
UT16020201-003_00,5,TEMPERATURE,Max. Temperature
UT16020201-005_00,5,PH,pH
UT16020201-008_00,5,ARSENIC,Arsenic
UT16020201-008_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16020201-009_00,5,CADMIUM,Cadmium
UT16020201-010_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
